Judul;Kode Eksemplar;Jumlah Buku yang dipinjam;Frekuensi Peminjaman
Auditing Suatu Pendekatan Terpadu Jilid 1;308pb3.3;3;Sering dipinjam
Akuntansi manajemen informasi untuk pengambilan keputusan strategis;2249;4;Sering dipinjam
AKUNTANSI MANAJEMEN;39619;4;Sering dipinjam
Akuntansi manajemen informasi untuk pengambilan keputusan strategis;2248;2;Jarang dipinjam
AKUNTANSI MANAJEMEN;29561;2;Jarang dipinjam
Auditing Suatu Pendekatan Terpadu Jilid 1;308pb3.2;3;Sering dipinjam
Akuntansi manajemen jilid 2;2243;5;Sering dipinjam
Auditing Suatu Pendekatan Terpadu Jilid 1;308pb3.1;3;Sering dipinjam
Akuntansi managemen sebuah pengantar;2000;3;Sering dipinjam
Akuntansi manajemen informasi untuk pengambilan keputusan strategis;2248;5;Sering dipinjam
Akuntansi manajemen;1725;5;Sering dipinjam
AKUNTANSI MANAJEMEN;39881;4;Sering dipinjam
Auditing suatu pendekatan terpadu Jilid 2;310pb3.3;1;Jarang dipinjam
PENGANTAR RISET OPERASI EDISI 3;41853;6;Sering dipinjam
Dasar Pemrograman 2 : Implementasi Menggunakan Java, C++, Matlab & Pascal;35440;1;Jarang dipinjam
Pemrograman komputer;47529;1;Jarang dipinjam
Program linier dan aplikasinya pada berbagai software;49419;1;Jarang dipinjam
PENGANTAR RISET OPERASI EDISI 3;32423;7;Sering dipinjam
Program linier dan aplikasinya pada berbagai software;49417;2;Jarang dipinjam
PENGANTAR RISET OPERASI EDISI 3;32379;5;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;41520;9;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;50060;9;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;50058;8;Sering dipinjam
Sosiologi Klasik;s264;1;Jarang dipinjam
Sosiologi Klasik;199SM3;1;Jarang dipinjam
EYD & kaidah bahasa indonesia;172SM3;1;Jarang dipinjam
EYD ejaan yang disempurnakan & seputar kebahasa-indonesiaan;029SM3;1;Jarang dipinjam
Kesalahan berbahasa penggunaan EYD;1736;1;Jarang dipinjam
Akuntansi Pajak Lanjutan;2156;1;Jarang dipinjam
Akuntansi perpajakan;1625;8;Sering dipinjam
Akuntansi pajak;42503;2;Jarang dipinjam
Hukum tata pemerintahan heteronom dan otonom;b00000432;1;Jarang dipinjam
Dasar-dasar akuntansi jilid 2;41843;4;Sering dipinjam
Dasar-dasar akuntansi jilid 2;41840;4;Sering dipinjam
Dasar-dasar akuntansi jilid 2;41841;5;Sering dipinjam
Dasar-dasar akuntansi jilid 2;41842;4;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;40275;7;Sering dipinjam
Akuntansi manajemen jilid 2;2243.2;1;Jarang dipinjam
Auditing buku 2;41848;1;Jarang dipinjam
Auditing : pendekatan sektor publik dan privat;32348;1;Jarang dipinjam
Makro ekonomi : aplikasi untuk indonesia;47593;8;Sering dipinjam
Pengantar manajemen;48207;2;Jarang dipinjam
Akuntansi manajerial suatu orientasi praktis;33892;2;Jarang dipinjam
Pemasaran jasa prinsip penerapan penelitian;2644,1;1;Jarang dipinjam
Evaluasi pembelajaran;33620;3;Sering dipinjam
Dasar-dasar dan perencanaan evaluasi pembelajaran;47565;1;Jarang dipinjam
PENGANTAR RISET OPERASI EDISI 3;32425;5;Sering dipinjam
Evaluasi hasil belajar;2399,4;1;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;30685;2;Jarang dipinjam
Kualitas pelayanan publik;26240;1;Jarang dipinjam
Memahami penelitian kualitatif;33576;1;Jarang dipinjam
PRAGMATIK;31551;2;Jarang dipinjam
Evaluasi pembelajaran;32010;3;Sering dipinjam
PENGANTAR RISET OPERASI EDISI 3;41853;6;Sering dipinjam
Evaluasi hasil belajar matematika;47151;2;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;21936;6;Sering dipinjam
MENULIS UNTUK DIBACA: FEATURE&KOLOM;33445;2;Jarang dipinjam
MENULIS;30189;1;Jarang dipinjam
Pengantar teori-teori sosial;24523;1;Jarang dipinjam
Pengembangan bahan ajar;48205;2;Jarang dipinjam
Strategi Dan Tahapan Mengajar;388,06;1;Jarang dipinjam
Morfologi bahasa indonesia;47729;2;Jarang dipinjam
Auditing Konsep dasar dan pedoman pemeriksaan akuntansi publik;A000011;5;Sering dipinjam
Kurikulum dan pembelajaran;24447;1;Jarang dipinjam
Kurikulum dan pembelajaran;19402;1;Jarang dipinjam
Pengembangan implementasi kurikulum 2013;30349;2;Jarang dipinjam
Mengenal filsafat hukum;48193;2;Jarang dipinjam
Metode penelitian bahasa;1739,1;1;Jarang dipinjam
Hukum Tata Negara Di Indonesia;htn0001;1;Jarang dipinjam
Metode-metode pemisahan kimia sebuah pengantar;25168;1;Jarang dipinjam
Senyawa Kompleks;49221;2;Jarang dipinjam
Mereka bilang aku kemlinthi;50812;3;Sering dipinjam
Program linier dan aplikasinya pada berbagai software;49417;2;Jarang dipinjam
pengantar ilmu ekonomi makro;40179;9;Sering dipinjam
Pengantar makroekonomi;40746;2;Jarang dipinjam
PENGANTAR ILMU EKONOMI EDISI 3;29386;7;Sering dipinjam
Akuntansi keuangan lanjutan;41250;2;Jarang dipinjam
MANAJEMEN PEMASARAN JASA;481apbn3.5;1;Jarang dipinjam
Sepotong hati yang baru;49811;5;Sering dipinjam
PRAGMATIK;31347;2;Jarang dipinjam
PENGAJARAN PRAGMATIK;42569;1;Jarang dipinjam
PRAGMATIK;970thp3.5;2;Jarang dipinjam
50 STRATEGI PEMBELAJARAN POPULER;37398;3;Sering dipinjam
Model-model pembelajaran;18419;3;Sering dipinjam
Jenis Kalimat Dalam Bahasa Indonesia;31330;1;Jarang dipinjam
Argumentasi dan Narasi;18442;1;Jarang dipinjam
Auditing : pendekatan sektor publik dan privat;40688;1;Jarang dipinjam
Auditing dan asurans integrated and comprehensive edition;17464;1;Jarang dipinjam
AUDITING Norma dan Prosedur Jilid 1 Edisi 9;2052,4;1;Jarang dipinjam
Teori Akuntansi;b00000564;1;Jarang dipinjam
Teori Akuntansi;2892;2;Jarang dipinjam
Akuntansi manajemen jilid 2;2243,3;4;Sering dipinjam
akuntansi manajemen ed. 3;24613;2;Jarang dipinjam
Teori Akuntansi;40762;3;Sering dipinjam
Globalisasi dan transformasi sosial budaya pengalaman Indonesia;48276;1;Jarang dipinjam
Komunikasi Politik, Media, & Demokrasi;15.498.1;2;Jarang dipinjam
Politik era digital ed.2;47011;1;Jarang dipinjam
FIND YOUR WHY;37461;2;Jarang dipinjam
ANALISIS WACANA PENGANTAR ANALISIS TEKS MEDIA;45290;5;Sering dipinjam
Analisis wacana kajian teoritis dan praktis ed.2;49239;2;Jarang dipinjam
Teori Akuntansi;639,1;1;Jarang dipinjam
Teori Akuntansi  dalam hampiran historigrafis taksonomis;49613;1;Jarang dipinjam
Pengantar sosiologi;42695;2;Jarang dipinjam
Hukum administrasi negara;H004;9;Sering dipinjam
Auditing buku 1;17338;2;Jarang dipinjam
Auditing jilid 1;35315;4;Sering dipinjam
Akuntansi perpajakan;31702;3;Sering dipinjam
Akuntansi perpajakan;441sm3;2;Jarang dipinjam
Metode Penelitian;37044;1;Jarang dipinjam
TUJUAN PENDIDIKAN ESENSI DAN ASPEK-ASPEK FILOSOFIS;38031;1;Jarang dipinjam
Teori Belajar dan Pembelajaran;43579;1;Jarang dipinjam
Managerial accounting;42420;3;Sering dipinjam
Metode penelitian & pengembangan research and development untuk bidang pendidikan, manajemen, sosial, teknik;46674;5;Sering dipinjam
PENDIDIKAN KEWARGANEGARAAN;15.402.1;1;Jarang dipinjam
Pendidikan kewarganegaraan;1097.3.2;1;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;31179;8;Sering dipinjam
Kamus bergambar kecilku Mandarin-Indonesia dilengkapi pena bersuara;50939;1;Jarang dipinjam
Pengantar Bisnis;U0040011;3;Sering dipinjam
Pengantar Bisnis;U0040001;1;Jarang dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;50058;8;Sering dipinjam
PENGANTAR EKONOMIKA MAKRO;24769;3;Sering dipinjam
Metode Penelitian Kuantitatif;46667;7;Sering dipinjam
pengantar ilmu ekonomi makro;217,2;5;Sering dipinjam
Teori ekonomi mikro suatu pengantar;316PB3.2;5;Sering dipinjam
PENGANTAR EKONOMI MAKRO;17467;4;Sering dipinjam
Principles of economics pengantar ekonomi makro;24179;3;Sering dipinjam
Makroekonomi;1,1;7;Sering dipinjam
Principles of economics pengantar ekonomi makro;311PB3.3;5;Sering dipinjam
ASPEK HUKUM HAK KEKAYAAAN INTELEKTUAL;15.101.2;2;Jarang dipinjam
Perlindungan hak kekayaan  intelektual di era global sebuah kajian kontemporer ed.2;49333;1;Jarang dipinjam
ASPEK HUKUM HAK KEKAYAAAN INTELEKTUAL;15.101.1;1;Jarang dipinjam
Mathematics undercover;47168;2;Jarang dipinjam
Aljabar dan Kalkulus;44278;4;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );33974;4;Sering dipinjam
AKUNTANSI MANAJEMEN;41115;5;Sering dipinjam
Pengantar Akuntansi Mananjemen Jilid 2;1239.3.1;2;Jarang dipinjam
AKUNTANSI MANAJEMEN;39619;4;Sering dipinjam
Teori dan aplikasi semiotik michael riffaterre;22721;2;Jarang dipinjam
Pengantar Semiotika;45093;2;Jarang dipinjam
Ekonomika Makro Edisi Revis;U0000145;6;Sering dipinjam
Makro ekonomi Indonesia;33776;4;Sering dipinjam
pengantar ilmu ekonomi makro;40180;7;Sering dipinjam
Makro ekonomi Indonesia;40411;4;Sering dipinjam
Ekonomi makro pengantar;40947;8;Sering dipinjam
Ekonomi Makro;339MHS3.1;10;Sering dipinjam
pengantar ilmu ekonomi makro;40177;9;Sering dipinjam
Pengantar ekonomi jilid 2;2238,5;2;Jarang dipinjam
Pengantar makroekonomi;40746;2;Jarang dipinjam
Pengantar makroekonomi;29630;1;Jarang dipinjam
PENGANTAR ILMU EKONOMI EDISI 3;29386;7;Sering dipinjam
METODE PENELITIAN KUANTITATIF : ANALISIS ISI DAN ANALISIS DATA SEKUNDER (ED. REV);34871;1;Jarang dipinjam
Metodologi Penelitian Kuantitatif : Ekonomi, Sosiologi, Komunikasi, Administrasi, Pertanian dan Lainnya;45427;4;Sering dipinjam
Metodologi penelitian kualitatif membantu peneliti dan mahasiswa;49436;1;Jarang dipinjam
Metodologi Penelitian Kualitatif;17517;2;Jarang dipinjam
METODOLOGI PENELITIAN KUALITATIF;48191;7;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;599;3;Sering dipinjam
Hukum administrasi;17262;3;Sering dipinjam
Hukum administrasi negara;H004.1;7;Sering dipinjam
Pengantar sosiologi;210pb3.2;2;Jarang dipinjam
Metode penelitian kuantitatif dan kualitatif teori, penerapan dan riset nyata;49669;6;Sering dipinjam
METODOLOGI PENELITIAN KUALITATIF;48188;5;Sering dipinjam
Memahami penelitian kualitatif;31487;1;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;21936;6;Sering dipinjam
Ekonomika Makro Edisi Revis;U0000141;7;Sering dipinjam
Ekonomika Makro Edisi Revis;U0000144;7;Sering dipinjam
Ekonomika Makro Edisi Revis;U0000142;5;Sering dipinjam
Akuntansi UMKM (Usaha Mikro Kecil Menengah);46735;2;Jarang dipinjam
Akuntansi keuangan menengah berdasarkan SAK;50719;1;Jarang dipinjam
Sosiologi;1523,2;1;Jarang dipinjam
Pengantar ilmu ekonomi makro & mikro;40749;4;Sering dipinjam
Akuntansi sektor publik;42244;5;Sering dipinjam
Akuntansi sektor publik di indonesia;781HB3.1;6;Sering dipinjam
Akuntansi keuangan lanjutan (perspektif Indonesia) buku 2;42640;8;Sering dipinjam
Auditing;49891;3;Sering dipinjam
Auditing buku 2;42358;2;Jarang dipinjam
ENGLISH GRAMMAR : CARA MUDAH KUASAI TATA BAHASA INGGRIS;50552;1;Jarang dipinjam
Etika politik;2519,5;1;Jarang dipinjam
Etika pemerintahan di Indonesia;1633,5;1;Jarang dipinjam
ECONOMICS PENGANTAR MIKRO DAN MAKRO;1406.3.2;7;Sering dipinjam
ECONOMICS PENGANTAR MIKRO DAN MAKRO EDISI 5;33518;4;Sering dipinjam
EKONOMI MATEMATIKA BISNIS;33870;6;Sering dipinjam
Etika bisnis bagi pelaku bisnis;42081;5;Sering dipinjam
pengantar ilmu ekonomi makro;40178;6;Sering dipinjam
Etika bisnis bagi pelaku bisnis;42079;5;Sering dipinjam
PENGANTAR ILMU EKONOMI EDISI 3;34295;5;Sering dipinjam
Principles of economics pengantar ekonomi makro;24269;5;Sering dipinjam
Etika bisnis dan profesi;47081;5;Sering dipinjam
Principles of economics pengantar ekonomi makro;24180;6;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );41749;4;Sering dipinjam
Etika Bisnis;1903,2;6;Sering dipinjam
pengantar ilmu ekonomi makro;221,11;4;Sering dipinjam
Etika bisnis dan profesi;47080;2;Jarang dipinjam
Etika Bisnis;1903,1;6;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );P01410002;5;Sering dipinjam
pengantar ilmu ekonomi makro;40179;9;Sering dipinjam
Etika Bisnis;35546;5;Sering dipinjam
pengantar ilmu ekonomi makro;249;6;Sering dipinjam
Etika bisnis dan profesi;48687;6;Sering dipinjam
Etika bisnis dan profesi;48688;3;Sering dipinjam
Akuntansi manajemen teori dan aplikasi;49711;6;Sering dipinjam
Akuntansi perpajakan;1624,6;8;Sering dipinjam
Metode Penelitian Hukum;15.320.2;1;Jarang dipinjam
Penelitian Hukum Ed. Revisi;29451;2;Jarang dipinjam
MEMAHAMI LAPORAN KEUANGAN;32772;1;Jarang dipinjam
Akuntansi Suatu pengantar buku 2 edisi 5 revisi;34113;1;Jarang dipinjam
Pengantar akuntansi berdasarkan SAK ETAP dan IFRS;2428,8;1;Jarang dipinjam
Auditing Suatu Pendekatan Terpadu Jilid 1;308PB3.2;3;Sering dipinjam
Auditing jilid 1;322PB3.2;2;Jarang dipinjam
Auditing jilid 1;14,061;1;Jarang dipinjam
Auditing jilid 1;24239;1;Jarang dipinjam
Akuntansi manajemen : alat pengukuran dan pengambilan keputusan manajerial;27219;5;Sering dipinjam
Audiiting Pemeriksaan Akuntansi;477,1;1;Jarang dipinjam
Audiiting Pemeriksaan Akuntansi;1876,2;1;Jarang dipinjam
Auditing;49123;1;Jarang dipinjam
Audiiting Pemeriksaan Akuntansi;1876,1;2;Jarang dipinjam
Auditing;49122;1;Jarang dipinjam
Teori & praktik menulis karya tulis ilmiah;49839;2;Jarang dipinjam
stastistik inferensi untuk ekonomi dan bisnis;1244.3.1;1;Jarang dipinjam
PENGANTAR RISET OPERASI EDISI 3;32423;7;Sering dipinjam
PENGANTAR RISET OPERASI EDISI 3;32379;5;Sering dipinjam
Belajar dan pembelajaran sains;37660;2;Jarang dipinjam
Kalkulus Jilid 1 Edisi 9;50312;2;Jarang dipinjam
The lost synbol;24113;1;Jarang dipinjam
Laut bercerita;49872;6;Sering dipinjam
Liars & outliers;45880;1;Jarang dipinjam
Gadis kretek;49888;4;Sering dipinjam
Ambigu kadang hanya dengan menatap aku merasa ingin menatap;45490;1;Jarang dipinjam
Moga bunda disayang allah;49980;3;Sering dipinjam
PSIKOLOGI SASTRA;577APBN3.2;1;Jarang dipinjam
Si anak savana;49833;5;Sering dipinjam
A thousand stars for nathan;49350;4;Sering dipinjam
Aroma Karsa;45668;1;Jarang dipinjam
Akuntansi perpajakan ed.2;32064;7;Sering dipinjam
Akuntansi Manajerial Accounting Managerial;2665,2;5;Sering dipinjam
APLIKASI ANALISIS MULTIVARIATE DENGAN PROGRAM IBM SPSS 25 ED.9;37067;3;Sering dipinjam
Sosiologi perkotaan;1627,3;1;Jarang dipinjam
Pelabuhan Perikanan;36344;2;Jarang dipinjam
Akuntansi manajemen jilid 2;2243,4;6;Sering dipinjam
HUKUM BISNIS;28168;4;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );33973;4;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );33975;5;Sering dipinjam
Akuntansi manajemen jil.1;2239,1;4;Sering dipinjam
Akuntansi manajemen jil.1;34054;3;Sering dipinjam
Akuntansi keuangan lanjutan buku 1;2758,1;1;Jarang dipinjam
Akuntansi sektor publik;34264;1;Jarang dipinjam
Akuntansi sektor publik;1051.3.6;3;Sering dipinjam
Akuntansi sektor publik;40369;3;Sering dipinjam
Akuntansi sektor publik;378apbn3.2;3;Sering dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;30012;2;Jarang dipinjam
Metode penelitian kuantitatif kualitatif dan R&D Best seller;45313;5;Sering dipinjam
SISTEM AKUNTANSI;25030;1;Jarang dipinjam
Akuntansi manajemen biaya sebuah pengantar;49044;5;Sering dipinjam
AKUNTANSI PAJAK ED.2;24643;3;Sering dipinjam
Praktikum audit seri 2 buku 1;28673;1;Jarang dipinjam
Auditing petunjuk pembuatan kertas kerja pemeriksaan;28355;1;Jarang dipinjam
Akuntansi sektor publik;1051.3.5;2;Jarang dipinjam
Pratikum audit Buku 1 Edisi 3;18708;2;Jarang dipinjam
AKUNTANSI SEKTOR PUBLIK AKUNTANSI KEUANGAN DAERAH;5551;1;Jarang dipinjam
AKUNTANSI YAYASAN DAN LEMBAGA PUBLIK;24305;1;Jarang dipinjam
AUDITING;24669;3;Sering dipinjam
Akuntansi sektor publik;1051.3.4;2;Jarang dipinjam
Akuntansi keuangan lanjutan (perspektif Indonesia) buku 2;42639;8;Sering dipinjam
Akuntansi manajemen : alat pengukuran dan pengambilan keputusan manajerial;27224;2;Jarang dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;50059;6;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;41520;9;Sering dipinjam
pengantar ilmu ekonomi;12,103;3;Sering dipinjam
Auditing buku 1;17309;3;Sering dipinjam
Auditing buku 2;2631,2;2;Jarang dipinjam
Auditing;17339;1;Jarang dipinjam
Auditing : teori dan praktik dasar pemeriksaan akuntan publik;48117;2;Jarang dipinjam
Pengantar ilmu ekonomi edisi ke 3;SM.262.1;4;Sering dipinjam
PENGANTAR ILMU EKONOMI EDISI 3;29387;5;Sering dipinjam
Teori ekonomi mikro suatu pengantar;316PB3.3;4;Sering dipinjam
Makroekonomi;304PB3.3;4;Sering dipinjam
Principles of economics pengantar ekonomi makro;311PB3.2;3;Sering dipinjam
Ekonomika Makro Edisi Revis;U0000142;5;Sering dipinjam
PENGANTAR ILMU EKONOMI EDISI 3;34295;5;Sering dipinjam
Ekonomika Makro Edisi Revis;U0000143;5;Sering dipinjam
EKONOMI MAKRO;28330;6;Sering dipinjam
PENGANTAR ILMU EKONOMI EDISI 3;46738;3;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );P01410001;5;Sering dipinjam
EKONOMI MAKRO;21384;4;Sering dipinjam
Teori ekonomi mikro suatu pengantar;316PB3.1;6;Sering dipinjam
Pengantar ekonomi makro edisi 7;45477;6;Sering dipinjam
Pengantar statistik pendidikan;29405;2;Jarang dipinjam
Akuntansi keuangan intermediate financial reporting buku 1;2310,3;1;Jarang dipinjam
Pengantar ekonomi makro tinjauan ekonomi syariah;40392;7;Sering dipinjam
Hukum acara perdata dalam teori dan praktek;111PB3.5;1;Jarang dipinjam
HUKUM ACARA PERDATA EDISI KELIMA;166PB3.2;2;Jarang dipinjam
Perlindungan hak kekayaan  intelektual di era global sebuah kajian kontemporer ed.2;49332;1;Jarang dipinjam
Makro ekonomi : aplikasi untuk indonesia;47592;6;Sering dipinjam
EKONOMI MAKRO;272HB3.1;8;Sering dipinjam
Teori ekonomi makro suatu pengantar;28146;7;Sering dipinjam
THE GENESIS OF MACROECONOMICS;640;3;Sering dipinjam
Auditing jilid 1 ed.5;2035,1;1;Jarang dipinjam
Auditing jilid 1 ed.5;2035,4;1;Jarang dipinjam
Auditing & jasa assruance pendekatan terintegrasi jilid 1 edisi 15;2502,1;1;Jarang dipinjam
PENGANTAR ILMU EKONOMI EDISI 3;29386;7;Sering dipinjam
Ekonomi makro pengantar;40947;8;Sering dipinjam
Teori ekonomi makro suatu pengantar;28144;7;Sering dipinjam
Auditing Suaru Pendekatan Terpadu Edisi 4 Jilid 1;11,222;2;Jarang dipinjam
Auditing jilid 1 ed.5;2035,6;1;Jarang dipinjam
Auditing jilid 1 ed.5;2035,3;1;Jarang dipinjam
AUDITING DAN ASURANS;17693;1;Jarang dipinjam
EKONOMI MATEMATIKA BISNIS;33871;2;Jarang dipinjam
Ekonomi Makro;339MHS3.1;10;Sering dipinjam
Ekonomika Makro Edisi Revis;U0000145;6;Sering dipinjam
Auditing Suatu Pendekatan Terpadu Jilid 1;308PB3.3;3;Sering dipinjam
Auditing jilid 1 ed.5;41986;1;Jarang dipinjam
Auditing Suatu Pendekatan Terpadu Jilid 1;308PB3.1;3;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;13.057.012;7;Sering dipinjam
Auditing jilid 1 ed.5;2035,7;1;Jarang dipinjam
Auditing jilid 1 ed.5;2035,5;1;Jarang dipinjam
Ekonomi maritim indonesia;25160;2;Jarang dipinjam
Memperkuat Kedaulatan Indonesia Di Laut Menuju Poros Maritim Dunia;44846;1;Jarang dipinjam
Analisis kebijakan publik panduan praktis mengkaji masalah dan kebijakan sosial;48144;1;Jarang dipinjam
Paradigma pengembangan maritim dan energi;27096;1;Jarang dipinjam
Foreign policy menuju kebijakan luar negeri level 4;49592;1;Jarang dipinjam
JENIS-JENIS TEKS;45349;3;Sering dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;30685;2;Jarang dipinjam
Prosedur penelitian suatu pendekatan praktik;23480;1;Jarang dipinjam
Tes bahasa;20338;4;Sering dipinjam
AKUNTANSI KEUANGAN INTERMEDIATE ACCOUNTING;28361;1;Jarang dipinjam
panduan praktis standar akuntansi keuangan;35313;1;Jarang dipinjam
Hukum administrasi negara;155sm3;5;Sering dipinjam
AUDITING Norma dan Prosedur Jilid 1 Edisi 9;2052,6;1;Jarang dipinjam
Akuntansi manajerial : Managerial Accounting, edisi 11;A020001;3;Sering dipinjam
Cara mudah kuasai grammar;35396;3;Sering dipinjam
English Skills Booster Grammar Tenses Vocabulary Conversation : Modul Komplet Untuk Latihan Autodidak Bahasa Inggris;45404;5;Sering dipinjam
Trik no.1 otodidak pintar percakapan bahasa inggris;49999;2;Jarang dipinjam
Akuntansi pajak;40849;2;Jarang dipinjam
AKUNTANSI PAJAK ED.2;24171;4;Sering dipinjam
Akuntansi pajak ed.6;18715;3;Sering dipinjam
Akuntansi BUMDes (Badan Usaha Milik Desa);45392;1;Jarang dipinjam
Akuntansi desa;17815;3;Sering dipinjam
Akuntansi Pemerintahan;21599;1;Jarang dipinjam
Hukum perdata indonesia;26248;2;Jarang dipinjam
Sosiologi hukum;49898;1;Jarang dipinjam
Hukum perdata indonesia;26247;2;Jarang dipinjam
Akuntansi manajemen jil.1;269,1;5;Sering dipinjam
Akuntansi manajemen jil.1;2239,2;4;Sering dipinjam
Akuntansi manajemen jil.1;2239,3;3;Sering dipinjam
Business ethics etika bisnis;21395;4;Sering dipinjam
ETIKA BISNIS EDISI 5;33484;3;Sering dipinjam
Etika bisnis dan profesi;41889;4;Sering dipinjam
ETIKA BISNIS EDISI 5;33485;3;Sering dipinjam
Etika bisnis dan profesi;41890;4;Sering dipinjam
Pengantar Bisnis;U0040012;3;Sering dipinjam
Pengantar Bisnis;42163;3;Sering dipinjam
Pengantar bisnis;26315;3;Sering dipinjam
Pengantar Bisnis;42165;2;Jarang dipinjam
Pengantar bisnis;49590;3;Sering dipinjam
Pengantar bisnis;26314;4;Sering dipinjam
Pengantar bisnis;26313;2;Jarang dipinjam
Business ethics etika bisnis;18995;3;Sering dipinjam
Business ethics etika bisnis;42313;4;Sering dipinjam
Business ethics etika bisnis;29041;4;Sering dipinjam
Akuntansi manajemen teori dan aplikasi;48279;3;Sering dipinjam
Akuntansi manajemen pendekatan studi kasus;49102;4;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;28379;8;Sering dipinjam
Seni berkata tidak;50785;4;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;18974;7;Sering dipinjam
Akuntansi Manajemen untuk perencanaan, pengendalian dan pengembilan keputusan;50281;3;Sering dipinjam
PENGANTAR EKONOMI MAKRO;17467;4;Sering dipinjam
pengantar ilmu ekonomi makro;249;6;Sering dipinjam
Pengantar ekonomi makro edisi 7;45477;6;Sering dipinjam
Makro ekonomi Indonesia;33776;4;Sering dipinjam
Teori ekonomi makro suatu pengantar;28144;7;Sering dipinjam
EKONOMI MAKRO;272HB3.1;8;Sering dipinjam
Analisis obat dalam sediaan farmasi;70213;1;Jarang dipinjam
Metodologi penelitian kuantitatif, kualitatif dan mix method ed.2;70196;1;Jarang dipinjam
Pengantar ilmu ekonomi makro( teori & soal );P01410002;5;Sering dipinjam
APLIKASI ANALISIS MULTIVARIATE DENGAN PROGRAM IBM SPSS 25 ED.9;37066;1;Jarang dipinjam
PENGANTAR RISET OPERASI EDISI 3;32424;5;Sering dipinjam
Menunggu itu ada seninya;50736;2;Jarang dipinjam
Akuntansi managemen sebuah pengantar;2000,1;3;Sering dipinjam
Dinamika politik di Indonesia;21460;1;Jarang dipinjam
Etika politik;2519,4;1;Jarang dipinjam
POLITIK GLOBAL;26561;1;Jarang dipinjam
TIRAI MENURUN;35484;1;Jarang dipinjam
APLIKASI ANALISIS MULTIVARIATE DENGAN PROGRAM IBM SPSS 25 ED.9;37067;3;Sering dipinjam
ECONOMICS PENGANTAR MIKRO DAN MAKRO EDISI 5;21803;5;Sering dipinjam
Akuntansi sektor publik;378APBN3.4;5;Sering dipinjam
Akuntansi sektor publik;17701;3;Sering dipinjam
AKUNTANSI SEKTOR PUBLIK: Suatu Pengantar;2054.1;2;Jarang dipinjam
AKUNTANSI SEKTOR PUBLIK;019PB3.1;2;Jarang dipinjam
Teori, konsep dan aplikasi Akuntansi sektor publik;2244,1;3;Sering dipinjam
Hukum administrasi negara;2112,5;2;Jarang dipinjam
Hukum administrasi;2861,1;2;Jarang dipinjam
Pengantar sosiologi;19709;3;Sering dipinjam
Pengantar sosiologi;37775;3;Sering dipinjam
Hukum administrasi negara;101SM3;3;Sering dipinjam
Hukum administrasi;44440;3;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );p01410006;5;Sering dipinjam
Makro ekonomi : aplikasi untuk indonesia;47593;8;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;178SM3;8;Sering dipinjam
pengantar ilmu ekonomi makro;40177;9;Sering dipinjam
The Essence Of Business Ethics (Etika Bisnis);43776;3;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );33972;4;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );151,16;3;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );p01410009;6;Sering dipinjam
Ekonomi makro;49195;4;Sering dipinjam
Metode kuantitatif;32606;1;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;30677;3;Sering dipinjam
Prosedur penelitian suatu pendekatan praktik;1734,1;1;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;17558;8;Sering dipinjam
Auditing buku 1;55004;2;Jarang dipinjam
Akuntansi perpajakan;1236.3.3;4;Sering dipinjam
Auditing buku 2;321pb3.7;1;Jarang dipinjam
Akuntansi manajemen edisi 3 revisi;13.057.019;6;Sering dipinjam
Auditing Konsep dasar dan pedoman pemeriksaan akuntansi publik;a000012;6;Sering dipinjam
Etika bisnis bagi pelaku bisnis;28555;5;Sering dipinjam
