Judul;Nomor Klasifikasi;Nama Klasifikasi;Kode Eksemplar
Undang-Undang PEMILU (pemilihan umum);325;Ilmu-ilmu sosial;<1491.1><29001><36414><39523>
MENGENAL TERUMBU KARANG;577;Ilmu-ilmu murni;<324.11><20195><28492><28972><36090><39366>
Budi Daya Kepiting BakaurnPembenihan dan Pembesaran;640;Ilmu-ilmu terapan;<27778><36009><36010><38777>
Nila;639;Ilmu-ilmu terapan;<234.011><36040><38995>
detik-detik proklamasi saat-saat menegangkan menjelang kemerdekaan republik;900;Geografi dan sejarah;<13.073.1><21575><39514>
Budaya & Kinerja Organisasi (Perspektif Organisasi Pemerintah);306;Ilmu-ilmu sosial;<265sm3><275sm3><31753><33097><33098><24034><29366><39113><39512>
Pajak Daerah Dan Retribusi Daerah;343;Ilmu-ilmu sosial;<39506>
Undang-undang administrasi kependudukan dan catatan sipil;342;Ilmu-ilmu sosial;<285sm3><21231><39504>
perilaku organisasional;658;Ilmu-ilmu terapan;<100><13.100><625><13.100.5><345.01><100.1><22176><22178><42977><23130><21978><25976><35673><39503>
Mirah dari banda;813;Kesusastraan;<451PB3.1><451PB3.2><19941><32994><32995><32996><21255><21256><21257><21555><21558><39502>
MADEMOISELLE FIFI KUMPULAN CERITA PENDEK GUY DE MAUPPASANT;813;Kesusastraan;<376APBN3.1><19945><30284><30285><30286><30287><18670><31579><28844><39501>
SOSIOLOGI SUATU PENGANTAR;301;Ilmu-ilmu sosial;<15.48.1><15.48.2><17704><32175><37309><37335><37337><37523><37754><39499>
Memahami ilmu politik;320;Ilmu-ilmu sosial;<M075><M075.1><1563.1><1563.2><50313><33773><42760><23465><21294><21295><29484><39498>
Perbandingan administrasi negara;350;Ilmu-ilmu sosial;<264sm3><1791.1><1791.2><1791.3><1791.4><1791.5><1791.6><1791.7><17174><17355><22313><22314><38998><39104><39491><39492><39493><39494><39495><39496>
PENGANTAR ANTROPOLOGI HUKUM;301;Ilmu-ilmu sosial;<21158><23397><35612><35263><39490>
UNDANG-UNDANG MPR, DPR, DPD DAN DPRD;342;Ilmu-ilmu sosial;<122PB3.1><39489>
Conflict management & capacity building for profesional development: mengelola konflik untuk memaksimalkan produktivitas kinerja dan pengembangan profesionalisme;658;Ilmu-ilmu terapan;<C002001><39431>
Praktikum Audit Buku 2 Seri 2;657;Ilmu-ilmu terapan;<39463><39464><39465><39466><39467><39468><39469><39470><39471>
PAJAK BUMI & BANGUNAN UNTUK PARA PRAKTISI;336;Ilmu-ilmu sosial;<1420.3.1><1420.3.2><1420.3.3><1420.3.4><1420.3.5><1420.3.6><21392><28762><28763><39486><39487><39488>
Ilmu negara kajian ilmiah dan keagamaan;202;Agama;<1548.1><39484>
Undang-Undang Kewarganegaraan Republik Indonesia UURI Nomor 12 Tahun 2006;348;Ilmu-ilmu sosial;<39450><39451><39452>
Pengantar Administrasi PembangunanrnKonsep, teori dan implikasinya diera reformasi;339;Ilmu-ilmu sosial;<28905><29439><39482>
Antropologi sosial budaya;301;Ilmu-ilmu sosial;<22601><23111><23112><23113><39481>
Budi Daya Ikan di Sawah;639;Ilmu-ilmu terapan;<39443>
Pedoman umum ejaan bahasa Indonesia & pedoman umum pembentukan istilah;410;Bahasa;<1241><583SM3><P080001><P080002><P080003><P080004><P080005><P080006><P080007><P080008><280.07><280.09><SM.024.0><SM.119><12.119.><024.1><12.377.2><12.120.07><12.120.08><377><024.000><024.01><024.0004><024.020><024.3><024.32><024.7><024.2><024.07><18278><18279><18280><18281><18282><18283><18284><18285><18286><18287><18288><18289><18290><18291><18292><18293><18294><18295><18296><41991><39478>
Peraturan Komisi Informasi Nomor 1 Tahun 2010 Tentang Standar Layanan Informasi Publik;348;Ilmu-ilmu sosial;<39453>
Computerised accounting with myob - intermediate book 2;5;Karya umum;<39380><39381><39382><39383><39384>
MATEMATIKA EKONOMI & KEUANGAN;510;Ilmu-ilmu murni;<479APBN3.1><479APBN3.2><479APBN3.3><479APBN3.4><479APBN3.5><42033><34333><34334><34335><34336><34337><34338><34339><34340><39472><39473><39475><39474><39476>
Pedoman Menuju Tidak Bahagia;152;Filsafat;<39388>
Conservative Turn : Islam Indonesia dalam Ancaman Fundamental;298;Agama;<39389>
Menguasai Presentasi dengan Microsoft Power Point XP;5;Karya umum;<39426>
Pembesaran Kerapu Bebek di Keramba jaring Apung;639;Ilmu-ilmu terapan;<27779>
AKUNTANSI MANAJEMEN;657;Ilmu-ilmu terapan;<13.050.11><13.050.12><13.050.13><13.050.14><13.050.15><13.050.16><13.050.17><13.050.18><13.050.19><13.050.110><13.050.111><13.050.112><13.050.113><13.050.114><13.050.115><13.050.116><13.050.117><13.050.118><13.050.119><13.050.120><41114><41115><41116><41117><41196><41968><41969><41976><41977><41978><38380><38381><38382><38383><38384><38385><38386><38666><38667><38668><38669><38670><38671><38672><38673><39261><39262><39263><39264><39265><39266><39267><39268><39422><39462>
Manajemen Mutu Terpadu Dalam Pendidikan;370;Ilmu-ilmu sosial;<39413>
Hukum Tentang Merger;650;Ilmu-ilmu terapan;<39391>
Ijtihad Politik;324;Ilmu-ilmu sosial;<39449>
Administrasi Kepegawaian Negara Indonesia;300;Ilmu-ilmu sosial;<35045><35046><35148><35149><35150><39448>
Habibie & Ainun;813;Kesusastraan;<17960><18232><18243><20897><18658><18685><60136><60158><32498><32541><42966><23211><24553><29814><39428><39447>
Undang-Undang Republik Indonesia Nomor 32 Tahun 2004 Tentang Pemerintah Daerah;348;Ilmu-ilmu sosial;<39446>
Undang-undang pemeriksaan pengelolaan & tanggungjawab keuangan negara;349;Ilmu-ilmu sosial;<28046><29273><39445>
Undang-undang pelayanan publik;348;Ilmu-ilmu sosial;<22621><23133><22701><39439><39441><39444>
Reinventing government: demokrasi dan reformasi pelayanan publik;353;Ilmu-ilmu sosial;<R020001><R020002><448.1><21896><39440>
HAK-HAK POLITIK MINORITAS NON MUSLIM DALAM KOMUNITAS ISLAM;320;Ilmu-ilmu sosial;<5361><39435>
KIMIA DAN EKOTOKSIKOLOGI PENCEMARAN;615;Ilmu-ilmu terapan;<985THP3.1><985THP3.2><985THP3.3><42229><29690><29470><39434>
Teori dan Kebijakan Publik Ekonomi Sumber Daya Manusia;330;Ilmu-ilmu sosial;<T0000011><T0000012><T0000013><T0000014><T0000015><32861><32862><39432>
MEMILIH BANK YANG SEHAT;650;Ilmu-ilmu terapan;<653APBN3.1><42336><29906><38227><39430>
Cara Praktis Mengelola File di Komputer;4;Karya umum;<MF000011><MF000012><39363>
METODE RISET BISNIS, VOL.1;650;Ilmu-ilmu terapan;<24765><39362>
Trik Cerdas Memimpin Cara Rasulullah;158;Filsafat;<39287>
Belajar dan Pembelajaran;371;Ilmu-ilmu sosial;<39286>
Dasar & Struktur Ketatanegaran Indonesia;342;Ilmu-ilmu sosial;<39278>
Teori Budaya;301;Ilmu-ilmu sosial;<39279>
Algoritma dan struktur data pengurutan dan pencarian;518;Ilmu-ilmu murni;<1397.3.1><1397.3.2><1397.3.3><1397.3.4><1397.3.5><1397.3.6><32316><32317><29651><29652><38223><39420>
Sistem Administrasi Negara Republik Indonesia Jilid 2;351;Ilmu-ilmu sosial;<39068><39419>
Reformasi administrasi konsep, dimensi dan strategi;352;Ilmu-ilmu sosial;<35556><39418>
Analisis Laporan Keuangan Pemerintah Daerah;657;Ilmu-ilmu terapan;<39277>
sosiologi ilmu pengetahuan berparadigma ganda;301;Ilmu-ilmu sosial;<B003012><B003011><SM.609.2.><609.2><030.1><22452><42782><23393><39416><39417>
UU NO.43 Tahun 2009 tentang Kearsipan dan UU NO.43 Thn 2007 tentang Perpustakaan;348;Ilmu-ilmu sosial;<591SM3><32640><41329><41330><22205><22206><39414>
Panduan Lengkap SPSS Versi 23;310;Ilmu-ilmu sosial;<39274>
HARIMAU! HARIMAU!;813;Kesusastraan;<374APBN3.1><374APBN3.2><19017><19022><19780><20384><20480><20743><40942><32799><21070><33747><39411>
PERPAJAKAN INDONESIA;336;Ilmu-ilmu sosial;<482sm3><414APBN3.1><414APBN3.2><414APBN3.3><414APBN3.4><414APBN3.5><34428><34429><34430><34431><34432><34433><34434><34435><39410>
KOMUNIKASI PROPAGANDA;658;Ilmu-ilmu terapan;<269APBN3.1><269APBN3.2><38997><39403><39404>
HUMAN RESOURCE MANAGEMENT: GAINING A COMPETITIVE ADVANTAGE;658;Ilmu-ilmu terapan;<12.521.1><12.521.3><39394><39395>
Etika Profesi Hukum;174;Filsafat;<15.351.1><15.351.2><39393>
Analisis manajemen kuantitatif dengan winqsb versi 2.0;650;Ilmu-ilmu terapan;<21105><21106><50480><24071><24072><39392>
Teknik-teknik statistika dalam bisnis dan ekonomi menggunakan kelompok data global;310;Ilmu-ilmu sosial;<22043><28790><38902><39387>
Kepemimpinan;303;Ilmu-ilmu sosial;<2487.1><2487.2><42978><39379>
PENGANTAR KOSMOLOGI;300;Ilmu-ilmu sosial;<21853><21937><24004><29888><35351><39367>
Etika Profesi Berbagai Bidang;174;Filsafat;<39311>
TEKNIK SUMBER DAYA AIR;627;Ilmu-ilmu terapan;<21933><28755><35737><36354><39364>
English social letter patterns;415;Bahasa;<32443><32503><41057><41058><41059><23378><28072><39359>
TRADISI PESANTREN;297;Agama;<628APBN3.1><628APBN3.2><41167><35162><39298>
cara mudah merakit komputer sendiri;4;Karya umum;<SM.1831><12.202><39284>
Pedagogi Pengharapan : Menghayati Kembali Pedagogi Kaum Tertindas;370;Ilmu-ilmu sosial;<39294>
7 Langkah Mudah Melakukan Analisis Statistik Menggunakan SPP 17;310;Ilmu-ilmu sosial;<047><499><24161><28161><28205><29614><39347>
ANALISIS DATA PENELITIAN KUALITATIF;544;Ilmu-ilmu murni;<A265><186sm3><20365><29333><39040><39214><39339>
SOSIOLOGI KONFLIK;301;Ilmu-ilmu sosial;<37631><38159><38160><39197><39198>
Menata Pulau-Pulau Kecil Perbatasan;341;Ilmu-ilmu sosial;<39229>
Dasar-dasar biokomia;574;Ilmu-ilmu murni;<1047.3.1><1047.3.2><1047.3.3><1047.3.4><1047.3.5><42406><42407><42408><42409><42410><42411><42412><42413><42414><42415><42416><42417><39337>
Menata ruang laut terpadu;729;Kesenian, hiburan, dan olahraga;<1031.3.1><1031.3.2><1031.3.3><1031.3.4><21489><24518><28073><38539><39330>
Konsumen dan Pelayanan Prima;658;Ilmu-ilmu terapan;<39161>
Dinamika politik di Indonesia;320;Ilmu-ilmu sosial;<2606.1><2606.2><2606.3><17268><21460><39328>
Human relation & public relation;340;Ilmu-ilmu sosial;<32648><32649><32718><42939><39325>
bisnis lele model cekak;639;Ilmu-ilmu terapan;<12.180><39219>
Hukum Kepegawaian di Indonesia;344;Ilmu-ilmu sosial;<283PB3.1><39323>
PEMBUAT KOMITMEN, WEWENANG, DAN TANGGUNGJAWABNYA DALAM PELAKSANAAN APBN/APBD;351;Ilmu-ilmu sosial;<13.014.11><13.014.12><13.014.13><13.014.14><13.014.15><13.014.16><13.014.17><13.014.18><13.014.19><13.014.110><20513><20514><20515><20516><20517><20518><20519><41141><32928><32929><32930><32931><22434><34026><34027><34028><34029><34030><34031><34032><34033><42623><23463><21400><21401><21402><27988><28645><28646><28647><28648><28649><28650><28721><38769><38770><38771><38772><39322>
Sistem informasi geografi;910;Geografi dan sejarah;<25984><29295><29753><29755><38211><38916><39032><39320>
Pengawetan dan pengolahan ikan;500;Ilmu-ilmu murni;<1035.3.1><36067><39319>
Interaksi daratan dan lautan pengaruhnya terhadap sumber daya dan lingkungan;551;Ilmu-ilmu murni;<1212.3.1><39212>
Merajut Pemikiran Dalam Dunia Notaris & PPAT;340;Ilmu-ilmu sosial;<39142>
Kampanye Menghipnosis Audiens;154;Filsafat;<39194>
Politik Dalam Islam;297;Agama;<39178>
Kybernology (Ilmu Pemerintahan Baru) 2;320;Ilmu-ilmu sosial;<39164>
Perilaku organisasional;302;Ilmu-ilmu sosial;<13.101><28185><35182><39312>
Dasar Programming Visual Foxpro 9.0;5;Karya umum;<39158>
Mochtar Kusuma-Atmadja dan Teori Hukum Pembangunan;923;Geografi dan sejarah;<39195><39297>
DESIGNING QUALITATIVE RESEARCH;301;Ilmu-ilmu sosial;<12.560.1><39309>
Elektronika Dasar & Peripheral Komputer;621;Ilmu-ilmu terapan;<39159>
Pengembangan Sumber daya air Terpadu;620;Ilmu-ilmu terapan;<u000231><u000232><u000233><u000234><22095><22302><39308>
Bertambak udang dengan teknologi Biocrete;639;Ilmu-ilmu terapan;<636SM3><666SM3><28962><36019><39307>
BUDI DAYA IKAN HIAS AIR TAWAR POPULER;639;Ilmu-ilmu terapan;<29371><36037><38972><39306>
RATU CINTA THE 7TH HEAVEN;813;Kesusastraan;<507APBN3.1><20453><42061><39302>
Didong pentas kreativitas gayo;792;Kesenian, hiburan, dan olahraga;<487APBN3.1><17926><19525><20197><31354><31555><40334><32560><32795><29410><39301>
SOSIOLOGI KELUARGA;301;Ilmu-ilmu sosial;<181PB3.1><35227><39300>
Dasar-dasar manajemen;658;Ilmu-ilmu terapan;<D026><D026.1><D026.2><401sm3><1064.3.1><1546.1><1546.2><1546.3><41580><41581><33792><24678><37931><39296>
PEMILU DAN KEDAULATAN RAKYAT;324;Ilmu-ilmu sosial;<15.169.1><15.169.2><1586.1><39295>
Kybernology (Ilmu Pemerintahan Baru) 1;320;Ilmu-ilmu sosial;<39123>
Moral Pancasila Jatidiri Bangsa;181;Filsafat;<39119>
Konflik nelayan;639;Ilmu-ilmu terapan;<1520.1><1520.2><1520.3><1520.4><1520.5><1520.6><1520.7><1520.8><1520.9><39293>
Prosedur pendirian yayasan;340;Ilmu-ilmu sosial;<22202><39291>
Sistem Informasi Geografis Menggunakan ARC VIEW GIS;1;Karya umum;<39110><39111><39112>
MANTRA KEHIDUPAN;111;Filsafat;<17666><39289>
Civil religion dimensi sosial politik islam;297;Agama;<1871.1><1871.2><33775><39100>
Tan Malaka pahlawan besar yang dilupakan sejarah;920;Geografi dan sejarah;<292sm3><1646.1><1646.2><1646.3><1646.4><39106>
Teori-teori kebudayaan dari teori hingga aplikasi;306;Ilmu-ilmu sosial;<2805.1><31319><41272><41348><39269><39283>
Badan layanan umum dari birokrasi menuju korporasi;353;Ilmu-ilmu sosial;<B213><41271><42787><39282>
Sistem informasi manajemen pendidikan;658;Ilmu-ilmu terapan;<033MHS3.1><42950><27812><39276>
Pengantar Ilmu antropologi;301;Ilmu-ilmu sosial;<18239><39275>
Dari Soekarno sampai SBY intrik & lobi politik para penguasa;320;Ilmu-ilmu sosial;<29947><39272>
KINERJA APARATUR PEMERINTAHAN DAERAH;320;Ilmu-ilmu sosial;<29277><39256>
Budi daya lele dumbo di kolam terpal;639;Ilmu-ilmu terapan;<22004><38203><38204><39244>
Menghasilkan Diskus Variatif;639;Ilmu-ilmu terapan;<39243>
Kesadaran lingkungan;500;Ilmu-ilmu murni;<1060.3.1><40595><24035><29004><29007><29037><29924><29927><29469><39242>
Budi daya ikan lele;639;Ilmu-ilmu terapan;<699SM3><702SM3><28971><36053><36408><38357><39241>
Kolam Ikan + ragam pilihan dan cara membuat;639;Ilmu-ilmu terapan;<22092><22903><22096><35327><39239><39240>
Panduan Lengkap Menguasai SPSS 19 Untuk Mengolah Data Statistik Penelitian;1;Karya umum;<39056><39237>
Budi Daya Belut di Pekarangan Rumah;639;Ilmu-ilmu terapan;<041.0011><130.1><130><577><130.4><130.00><38931><39235>
HIDROLOGI;551;Ilmu-ilmu murni;<4411><35259><36212><39009><39228>
membuat laporan pdf untuk aplikasi web dengan php 5;4;Karya umum;<341><39060>
Pengenalan Elektronika Untuk Pemula;621;Ilmu-ilmu terapan;<39059>
Pemahaman Tes Bakat Skolastik Untuk Tes CPNS dan Swasta;154;Filsafat;<39057>
Dasar-dasar biologi molekular;570;Ilmu-ilmu murni;<32469><41069><41070><29231><29940><35717><36667><39222><39223>
Akuntansi sektor publik;657;Ilmu-ilmu terapan;<084MHS3.1><084MHS3.2><378APBN3.1><378APBN3.2><378APBN3.3><378APBN3.4><378APBN3.5><378APBN3.6><378APBN3.7><40246><40247><40248><40249><40250><40259><32299><32300><32301><32302><40510><41133><33416><33417><42072><34263><34264><34265><34266><34267><34268><34269><34270><34318><34436><34437><21919><24754><24755><24756><24757><24758><38730><39220><39221>
Dalang peristiwa 15 januari 1974 (malari);900;Geografi dan sejarah;<22502><39216>
Sejarah dan budaya melayu;306;Ilmu-ilmu sosial;<S124><22321><42959><23191><21421><24287><38549><39215>
kebijakan publik teori,proses, dan studi kasus;303;Ilmu-ilmu sosial;<K188><22318><39210>
Analisis kebijakan publik;350;Ilmu-ilmu sosial;<1965.1><30191><42446><42651><42764><24496><28124><29374><36395><20286><39203>
DATABASE DENGAN SQL SERVER 2005;5;Karya umum;<1415.3.1><1415.3.2><1415.3.3><1415.3.4><1415.3.5><1415.3.6><36644><36645><38236><38956><38957><39199>
Dasar-dasar statistika untuk ekonomi;330;Ilmu-ilmu sosial;<D0070001><040.00><039.2><408><148><SM.408.5><408.6><12.007.><12.408.3><148.1><12.148.><148.6><408.7><408.8><408.2><408.4><148.3><40551><40562><40563><41415><41416><41417><41418><41419><41420><41421><41422><41423><41424><41425><41426><39196>
Template CMS;5;Karya umum;<38901>
Analisis data penelitian dengan statistik;310;Ilmu-ilmu sosial;<327PB3.1><41389><41390><41391><41392><41393><42752><21686><35934><39190>
Budi daya 23 komoditas laut menguntungkan;639;Ilmu-ilmu terapan;<28116><35275><38698><39132><39185>
Mengukir demokrasi;303;Ilmu-ilmu sosial;<1674.1><1674.2><1674.3><39183>
PEREMPUAN DALAM WACANA POLITIK ORDE BARU;305;Ilmu-ilmu sosial;<659APBN3.1><659APBN3.2><33131><33189><39182>
KEUANGAN NEGARA;355;Ilmu-ilmu sosial;<177PB3.1><177PB3.2><39165>
KAPITA SELEKTA SOSIOLOGI;301;Ilmu-ilmu sosial;<29427><39163>
HUKUM INTERNASIONAL;341;Ilmu-ilmu sosial;<164PB3.1><164PB3.2><36695><39157>
A to Z Budi daya Biota Akuatik untuk Pangan, Kosmetik, dan Obat-obatan;333;Ilmu-ilmu sosial;<29139><39156>
Gitu aja kok repot;958;Geografi dan sejarah;<1967.1><10154><22207><22387><22504><22511><24031><28051><39155>
Dasar-dasar ilmu hukum administrasi negara;351;Ilmu-ilmu sosial;<2838.1><32911><32912><35074><37870><37891><39151><39152>
Cara cepat menyusun skripsi jurusan informatika/komputer;12;Karya umum;<182><395.1><395><39141>
Kebijakan Publik : Formulasi, Implementasi dan Evaluasi;352;Ilmu-ilmu sosial;<39030>
Sosiologi perdesaan;302;Ilmu-ilmu sosial;<1763.1><1763.2><1763.4><1763.3><1763.5><40493><33600><42743><34850><29316><36291><39137>
Etika;170;Filsafat;<20892><21015><30693><30694><30695><30696><30697><30698><31320><31321><31322><31323><31324><31325><31326><42713><21386><21461><24065><37412><37413><39135>
Kompromi Politik dalam Islam;297;Agama;<39017>
Douwes Dekker : Sang Inspirator Revolusi;920;Geografi dan sejarah;<39016>
Panduan Seminar Praktis;371;Ilmu-ilmu sosial;<39013>
Syarah Tiga Landasan Utama;297;Agama;<39011>
Penuntun Perkuliahan Bahasa Indonesia;371;Ilmu-ilmu sosial;<38976>
Buku Ajar Sosiologi Keluarga;370;Ilmu-ilmu sosial;<38975>
Amerika, terorisme dan islamphobia;303;Ilmu-ilmu sosial;<29675><39121>
ASUHAN KEPERAWATAN PADA IBU POSTPARTUM DAN BAYI BARU LAHIR;610;Ilmu-ilmu terapan;<1416.3.1><1416.3.2><1416.3.3><1416.3.4><1416.3.5><1416.3.6><36617><37054><39020><39120>
Paradigma Sosiologi Sastra;301;Ilmu-ilmu sosial;<29526><39115>
BE YOUNG (baca:biang) SUCCESS DETIK INI;650;Ilmu-ilmu terapan;<395APBN3.1><395APBN3.2><395APBN3.3><395APBN3.4><395APBN3.5><33657><34484><34485><34486><34487><34509><34510><34511><34512><34513><39114>
METODE PENELITIAN SUATU PENDEKATAN PROPOSAL;1;Karya umum;<50461><36604><39105>
Potret ekonomi politik indonesia;330;Ilmu-ilmu sosial;<13.09.11><13.09.12><13.09.13><13.09.14><13.09.15><13.09.16><13.09.17><13.09.18><13.09.19><19966><41305><41763><41764><41765><22160><22161><22162><22163><22164><22165><22166><22239><22240><22241><22242><22243><21880><28099><28100><28101><28102><28103><28104><28105><28106><28107><28108><28109><28110><28111><28112><38167><38168><38169><38170><38364><38365><38366><38367><38368><38369><38370><38990><38991><39099>
Untung sabut;920;Geografi dan sejarah;<118sm3><41603><41604><41606><41607><41608><41609><41610><41611><41612><41613><41614><41615><41616><41617><41618><41619><41620><41621><41622><41623><41624><41789><41790><42657><39097>
ANALISIS EKONOMETRIKA DAN STATISTIKA DENGAN EVIEWS ED.KEDUA;330;Ilmu-ilmu sosial;<21882><29901><39093>
Pertumbuhan & penyelenggaraan pemerintahan desa;321;Ilmu-ilmu sosial;<1801.1><1801.2><1801.3><1801.4><1801.5><1801.6><50338><42454><42755><23481><29500><39078>
Organisasi-organisasi modern;302;Ilmu-ilmu sosial;<29623><39054><39063><39076><39077>
Sistem Administrasi Negara Republik Indonesia Jilid 1;351;Ilmu-ilmu sosial;<38950>
Jurnalistik teori & praktik;70;Karya umum;<538APBN3.1><538APBN3.2><538APBN3.3><538APBN3.4><20370><20374><18632><30615><31334><31339><31499><31575><40678><32630><33752><21808><21905><39067>
CERDIK & TAKTIS MENGHADAPI KASUS HUKUM;340;Ilmu-ilmu sosial;<21621><39049>
Public relations;659;Ilmu-ilmu terapan;<2621.1><29820><29833><39046>
BUDI DAYA NILA;639;Ilmu-ilmu terapan;<B010001><B010002><B010003><B010004><29682><39044>
Pakan Ikan;633;Ilmu-ilmu terapan;<28915><28491><39043>
PENGANTAR TEORI KOMUNIKASI ANALISIS DAN APLIKASI ED.3 BUKU 1;621;Ilmu-ilmu terapan;<36330><36331><37032><37033><37034><37035><37036><39035><39036><39037>
PENGANTAR EKONOMIKA MAKRO;330;Ilmu-ilmu sosial;<24769>
Perekonomian indonesia;300;Ilmu-ilmu sosial;<1134.3.1><1134.3.2><19965><40929><24768><38935><39034>
Fungsi-fungsi manajerial;658;Ilmu-ilmu terapan;<22691><28926><39033>
reformasi pelayanan publik teori,kebijakan dan implementasi;303;Ilmu-ilmu sosial;<13.0811><42852><34763><35020><39031>
Political branding & public relations;320;Ilmu-ilmu sosial;<4421><32945><35515><39019><39025>
Auditing dan pelayanan verifikasi pendekatan terpadu edisi 9 jil.2;657;Ilmu-ilmu terapan;<34686><34679><34687><34688><34689>
DARI PEMBERONTAKAN KE INTEGRASI;960;Geografi dan sejarah;<161PB3.1><673APBN3.1><673PB3.2><35128>
cara menyelesaikan sengketa diluar pengadilan;340;Ilmu-ilmu sosial;<12.085.1><24536><39010>
KONSERVASI EKOSISTEM SUMBERDAYA HAYATI DI WILAYAH PESISIR DAN LAUT TROPIS;577;Ilmu-ilmu murni;<12.19><1192.3.1><39005>
Riau berdarah;910;Geografi dan sejarah;<22052><23110><29000><29327><39004>
CERDAS & CERDIK MENGELOLA UANG;808;Kesusastraan;<6291><42985><39002>
Administrasi keuangan negara;306;Ilmu-ilmu sosial;<2163.1><2163.2><2163.3><2163.4><17303><17608><39001>
SUKSES BUDI DAYA LOBSTER AIR TAWAR DAN AIR LAUT;636;Ilmu-ilmu terapan;<523.11><21393><38996>
KIAT MEMASARKAN IKAN HIAS;639;Ilmu-ilmu terapan;<991TPH3.1><991THP3.2><28966><38679><38680><38587><38994>
BIOKIMIA PROTEIN, ENZIM DAN ASAM NUKLEAT;572;Ilmu-ilmu murni;<38533><38534><38535><38993>
Pokok-pokok Administrasi publik & implementasi;350;Ilmu-ilmu sosial;<U0000811><U0000812>
Ikan Hias laut Indonesia;639;Ilmu-ilmu terapan;<12.034.1><38821>
PEMOGRAMAN BERORIENTASI OBYEK DENGAN BAHASA PEMOGRAMAN JAVA;4;Karya umum;<38118><38119><38971>
PENGANTAR HUKUM BISNIS;650;Ilmu-ilmu terapan;<13.029.11><13.029.12><13.029.13><13.029.14><13.029.15><13.029.16><13.029.17><13.029.18><13.029.19><13.029.110><31697><31698><31699><31700><40181><40182><40183><40184><40185><40251><32102><32103><32104><32105><55001><41118><41119><33076><33132><33133><33134><33135><33136><33137><33138><33191><33192><33764><42622><34317><27773><38460><38458><38459><38791><38904>
Dasar-Dasar Metodologi Penelitian;1;Karya umum;<410.1><1689.1><1689.2><1689.3><1689.4><1689.5><1689.6><1689.7><1689.8><1689.9><18158><18159><18160><18177><18178><18179><31378><40053><40057><40380><40382><40397><34860><28207><38795>
Kitab Bahasa Indonesia Untuk SD, SMP, SMA, Mahasiswa, UMUM;810;Kesusastraan;<38969>
Budi Daya Gurami Ed Revisi;639;Ilmu-ilmu terapan;<38968>
Pergulatan Feminisme dan HAM;341;Ilmu-ilmu sosial;<38967>
Garis Besar Sistem Hukum Amerika Serikat;341;Ilmu-ilmu sosial;<38966>
Politik lokal;330;Ilmu-ilmu sosial;<1939.1><1939.2><23083><23151><35525><38953>
Kalimat jurnalistik;70;Karya umum;<652APBN3.1><652APBN3.2><18240><24421><38951>
Sistem politik indonesia;320;Ilmu-ilmu sosial;<2497.1><2497.2><40983><38949>
Psikologi keluarga;153;Filsafat;<22000><23074><23116><38947>
Hak kekayaan intelektual;353;Ilmu-ilmu sosial;<22599><21347><38945>
Filosofi pelayanan publik;658;Ilmu-ilmu terapan;<1804.1><1804.2><38944>
Rupiah Kuat, Bangsa Bermartabat;155;Filsafat;<35235><38943>
Administrasi dan birokrasi pemerintah;350;Ilmu-ilmu sosial;<U00300371><U00300372><35047><38938><38939><38940>
Pengantar sosiologi;301;Ilmu-ilmu sosial;<1537.1><1537.2><1537.3><1537.4><1537.5><1537.6><1537.8><1537.7><17321><40163><21993><38934>
Budidaya teripang : khasiat & cara olah untuk pengobatan;639;Ilmu-ilmu terapan;<00581><38933>
Cara gampang membudidayakan teripang;639;Ilmu-ilmu terapan;<172.021><172.1><13.217.><217.1><217.6><38932>
budi daya ikan nila;639;Ilmu-ilmu terapan;<005.4><005.3><005.02><005><13.054.><38928>
Geografi politik;320;Ilmu-ilmu sosial;<679APBN3.1><679APBN3.2><42689><24502><38727><38926>
Himpunan Undang-undang Lingkungan Hidup & AMDAL;577;Ilmu-ilmu murni;<355sm3><38925>
sebuah catatan dari kenangan hardi s hood mengabdi dengan hati;950;Geografi dan sejarah;<13.035.1><035><035.2><07><130.3><36909><38923>
Manajemen kinerja;658;Ilmu-ilmu terapan;<1658.1><1658.2><1658.3><1658.4><50498><50499><38922>
Prinsip Pengelolaan Pengambilan Sampel Lingkungan;628;Ilmu-ilmu terapan;<38921>
Pengantar teori kriminologi;364;Ilmu-ilmu sosial;<pt00001><pt00002><0023><12.002><002.01><17275><38919>
PENGEMBANGAN ORGANISASI;60;Karya umum;<631APBN3.1><28219><29082><35086><35087><38789><38918>
Membuat Skripsi Dengan OpenOffice.org Writer 2.0;5;Karya umum;<38915>
Matematika Ekonomi dan Bisnis Buku 1 Ed 2;330;Ilmu-ilmu sosial;<38914>
Intelegensi Buatan : Teori dan Pemograman;5;Karya umum;<38912>
Strategic management manajemen strategis buku 1;658;Ilmu-ilmu terapan;<035PB3.1><035PB3.2><035PB3.3><035PB3.4><035PB3.5><30415><40085><34667><24345><24353><38911>
SIAP Solusi Instan Ala Pelajar Taklukkan Bahasa Inggris SMP/MTs Kelas VII, VIII, & IX;425;Bahasa;<38910>
NEGOSIASI ANTI GAGAL SIAPA SAJA, DIMANA SAJA, KAPAN SAJA;302;Ilmu-ilmu sosial;<12.6.1><474APBN3.1><474APBN3.2><474APBN3.3><474APBN3.4><27896><27897><27898><27899><27900><27901><27902><27903><27904><38909>
Tokoh-tokoh muslim paling berpengaruh di dunia;297;Agama;<35579><38906>
